stimulus_id,image_path,source_id,condition_id,outline,shading,shading_region,material,outer_color,center_color,background_color,width_px,height_px,sha256
user-bird__oa-sn-ma-pwg,images/user-bird/background-white/user-bird__oa-sn-ma-pwg.png,user-bird,oa-sn-ma-pwg,ambiguous,none,none,ambiguous,white,gray,white,1024,1024,d05c5b6b6b80b93ca13e0f33d5f5300c18b8870f2693578669e1b7b4c952bb38
user-bird__oa-sn-mv-pwb,images/user-bird/background-white/user-bird__oa-sn-mv-pwb.png,user-bird,oa-sn-mv-pwb,ambiguous,none,none,vase,white,black,white,1024,1024,869003d95d749732828f20d8753d56e3dc3b8dd22af7da1713f3c2ad7db8a75c
user-bird__oa-sn-mv-pwg,images/user-bird/background-white/user-bird__oa-sn-mv-pwg.png,user-bird,oa-sn-mv-pwg,ambiguous,none,none,vase,white,gray,white,1024,1024,1aa8807e0f11c74f62db845293e1211a9392c207d47196fd99d1d8d65aa3ec9d
user-bird__of-sf-ma-pbw,images/user-bird/background-white/user-bird__of-sf-ma-pbw.png,user-bird,of-sf-ma-pbw,face,figure,face,ambiguous,black,white,white,1024,1024,3e9f9d377482803eff057ac808b9a39941c39c6dc19d084e0661b7ef59563a62
user-bird__of-sf-ma-pgw,images/user-bird/background-white/user-bird__of-sf-ma-pgw.png,user-bird,of-sf-ma-pgw,face,figure,face,ambiguous,gray,white,white,1024,1024,0f6a476f94fad96015035b77fea03a1a988adfeece7dc3d4a82a543f0ff91b16
user-bird__of-sn-ma-pbw,images/user-bird/background-white/user-bird__of-sn-ma-pbw.png,user-bird,of-sn-ma-pbw,face,none,none,ambiguous,black,white,white,1024,1024,780c3b37c00136a9ba4d9cbd1e26f8f7691a491eb1710a194d9ee98b98e5146a
user-bird__of-sn-ma-pgw,images/user-bird/background-white/user-bird__of-sn-ma-pgw.png,user-bird,of-sn-ma-pgw,face,none,none,ambiguous,gray,white,white,1024,1024,37a6d596f27bce681df7feeaae5a8414cdc723d436fcb7c7abef387e297d5009
user-dog__oa-sf-ma-pbg,images/user-dog/background-black/user-dog__oa-sf-ma-pbg.png,user-dog,oa-sf-ma-pbg,ambiguous,figure,vase,ambiguous,black,gray,black,1024,1024,cd264d3d5133578e9fd58921cecb59a47667709833ca53db5b5dffdc3590a184
user-dog__oa-sf-ma-pbw,images/user-dog/background-black/user-dog__oa-sf-ma-pbw.png,user-dog,oa-sf-ma-pbw,ambiguous,figure,vase,ambiguous,black,white,black,1024,1024,f223af10c39887d1870d2069bf064b1e2f3d6f9b4028621af2d1a5d107a1540a
user-dog__oa-sn-ma-pbg,images/user-dog/background-black/user-dog__oa-sn-ma-pbg.png,user-dog,oa-sn-ma-pbg,ambiguous,none,none,ambiguous,black,gray,black,1024,1024,00a2ada818b6ca82d342a2bad447d69454f565e0c79a35a99dac8df80ec724ae
